currency,instrument,fx_business_date,london_date,hour,price_taker,market_maker,buy_ccy,sell_ccy,buy_volume_matched,sell_volume_matched,buy_trade_count_matched,sell_trade_count_matched,buy_volume_total,sell_volume_total,buy_trade_count_total,sell_trade_count_total
AUDJPY,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,AUD,JPY,686000.0,,3,,686000.0,4500000.0,3,5
AUDJPY,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,AUD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
AUDJPY,SPT,2018-01-02,2018-01-01,22,Fund,Bank,AUD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
AUDJPY,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,AUD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,AUD,NZD,,800000.0,,2,,2800000.0,,4
AUDNZD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,AUD,NZD,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,AUD,NZD,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,AUD,NZD,0.0,0.0,0,0,0.0,0.0,0,0
AUDUSD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,AUD,USD,605000000.0,1971011.0,6,3,612000000.0,30563011.0,9,16
AUDUSD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,AUD,USD,0.0,0.0,0,0,0.0,0.0,0,0
AUDUSD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,AUD,USD,,27935000.0,,2,,46935000.0,,3
AUDUSD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,AUD,USD,0.0,0.0,0,0,0.0,0.0,0,0
CADJPY,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,CAD,JPY,,,,,,,,
CADJPY,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,CAD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
CADJPY,SPT,2018-01-02,2018-01-01,22,Fund,Bank,CAD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
